Year,Country of Origin (ISO),Country of Origin,Country of Asylum,Country of Asylum (ISO),Country of Resettlement (ISO),Country of Resettlement,Total departures (persons)
2016,SYR,Syrian Arab Rep.,-,-,-,-,47930
2016,SDN,Sudan,-,-,-,-,1718
2016,IRQ,Iraq,-,-,-,-,7387
2016,ERI,Eritrea,-,-,-,-,2808
2016,BTN,Bhutan,-,-,-,-,6297
2016,All others,All others,-,-,-,-,7449
2016,SOM,Somalia,-,-,-,-,10757
2016,MMR,Myanmar,-,-,-,-,13234
2016,IRN,Iran (Islamic Rep. of),-,-,-,-,2256
2016,COD,Dem. Rep. of the Congo,-,-,-,-,21911
2016,AFG,Afghanistan,-,-,-,-,4544
2017,SYR,Syrian Arab Rep.,-,-,-,-,29788
2017,SDN,Sudan,-,-,-,-,1228
2017,IRQ,Iraq,-,-,-,-,3414
2017,ERI,Eritrea,-,-,-,-,3195
2017,BTN,Bhutan,-,-,-,-,3959
2017,SOM,Somalia,-,-,-,-,3119
2017,MMR,Myanmar,-,-,-,-,4791
2017,IRN,Iran (Islamic Rep. of),-,-,-,-,896
2017,COD,Dem. Rep. of the Congo,-,-,-,-,7733
2017,AFG,Afghanistan,-,-,-,-,2053
2018,AFG,Afghanistan,-,-,-,-,1425
2018,SYR,Syrian Arab Rep.,-,-,-,-,23413
2018,SDN,Sudan,-,-,-,-,1193
2018,IRQ,Iraq,-,-,-,-,1238
2018,ERI,Eritrea,-,-,-,-,3527
2018,BTN,Bhutan,-,-,-,-,919
2018,SOM,Somalia,-,-,-,-,896
2018,MMR,Myanmar,-,-,-,-,4750
2018,IRN,Iran (Islamic Rep. of),-,-,-,-,358
2018,COD,Dem. Rep. of the Congo,-,-,-,-,12742
2019,COD,Dem. Rep. of the Congo,-,-,-,-,14673
2019,AFG,Afghanistan,-,-,-,-,2476
2019,SYR,Syrian Arab Rep.,-,-,-,-,23625
2019,SDN,Sudan,-,-,-,-,2861
2019,IRQ,Iraq,-,-,-,-,2128
2019,ERI,Eritrea,-,-,-,-,3379
2019,BTN,Bhutan,-,-,-,-,32
2019,SOM,Somalia,-,-,-,-,2360
2019,MMR,Myanmar,-,-,-,-,5224
2019,IRN,Iran (Islamic Rep. of),-,-,-,-,467
2020,IRN,Iran (Islamic Rep. of),-,-,-,-,60
2020,COD,Dem. Rep. of the Congo,-,-,-,-,1697
2020,AFG,Afghanistan,-,-,-,-,495
2020,SYR,Syrian Arab Rep.,-,-,-,-,4209
2020,SDN,Sudan,-,-,-,-,425
2020,IRQ,Iraq,-,-,-,-,592
2020,ERI,Eritrea,-,-,-,-,450
2020,SOM,Somalia,-,-,-,-,232
2020,MMR,Myanmar,-,-,-,-,541
,,,,,,,
"Some data presented may differ from statistics published previously due to retroactive changes or the inclusion of previously unavailable data. In addition, resettlement departure figures reported by UNHCR may not match resettlement statistics published by States as Government figures may include individuals who were resettled outside of UNHCR processes. More information about UNHCR's resettlement programe can be found at http://www.unhcr.org/resettlement.html.",,,,,,,
